ED,ECU,FCU,FD,APL,Force
16.57,5.584,3.335,10.88,21.8,0.0400610170935911
16.62,5.595,3.335,10.79,21.82,0.040905555402074
16.65,5.66,3.321,10.76,21.93,0.0382624375735668
16.68,5.791,3.306,10.75,22.1,0.0402452857746323
16.7,5.91,3.321,10.75,22.2,0.053682466973544
16.7,5.954,3.306,10.75,22.28,0.0634075073079373
16.66,5.965,3.291,10.73,22.41,0.0598783471822448
16.65,5.965,3.291,10.71,22.55,0.0577909865695696
16.63,5.965,3.291,10.69,22.68,0.0624849140174966
16.62,5.954,3.291,10.65,22.78,0.0598413938236488
16.58,5.954,3.291,10.61,22.81,0.0556321439513083
16.58,5.976,3.321,10.54,22.81,0.0701776760207252
16.57,5.986,3.321,10.45,22.82,0.0904079459676343
16.55,5.986,3.277,10.37,22.82,0.0927210592008373
16.52,5.986,3.204,10.3,22.83,0.0881270199498654
16.48,5.997,3.145,10.24,22.82,0.0901446972456274
16.47,5.986,3.116,10.24,22.74,0.0909754722361529
16.44,5.976,3.116,10.26,22.53,0.0891978760204959
16.4,5.976,3.116,10.27,22.2,0.0901021149130538
16.39,5.976,3.116,10.28,21.77,0.0905815292140732
16.39,5.997,3.116,10.29,21.42,0.0894266339133471
16.39,6.03,3.145,10.3,21.37,0.0900952917065197
16.39,6.019,3.16,10.29,21.46,0.0906205026634187
16.37,6.019,3.16,10.26,21.56,0.0892288192012525
16.34,6.008,3.16,10.24,21.68,0.0901202375613725
16.32,6.008,3.116,10.24,21.56,0.09118452079151
16.29,6.03,3.072,10.24,20.82,0.0882851511834575
16.21,6.03,3.072,10.24,19.47,0.0902212372963897
16.08,6.019,3.072,10.26,18.26,0.0939258336399368
16.01,6.008,3.072,10.28,17.47,0.0800940889554763
16.01,5.976,3.072,10.27,17,0.0596529466023697
16.01,5.976,3.087,10.27,16.88,0.0571399838052553
15.99,5.976,3.057,10.28,16.98,0.0619223092800353
16.06,5.976,3.043,10.27,17.09,0.0599458223938298
16.06,5.932,3.043,10.29,17.05,0.059144141376977
15.91,5.856,3.057,10.31,16.86,0.0605638122857396
15.68,5.802,3.057,10.31,16.67,0.0600127430156252
15.42,5.769,3.057,10.28,16.64,0.0599057161522725
15.29,5.747,3.057,10.21,16.89,0.0598027204710829
15.27,5.736,3.072,10.12,17.35,0.0600635282514744
15.29,5.769,3.116,10.07,17.8,0.0606611438614082
15.26,5.823,3.116,10.04,17.93,0.0588276063580881
15.09,5.856,3.116,10.01,17.87,0.0601556950459409
14.62,5.878,3.043,9.972,17.75,0.0627573749723923
13.88,5.856,2.999,9.901,17.62,0.0530837241701692
13.15,5.769,3.013,9.78,17.48,0.0397846080131676
12.66,5.693,2.999,9.666,17.36,0.0385432137892757
12.43,5.671,2.911,9.652,17.33,0.0406059917465951
12.35,5.66,2.823,9.666,17.33,0.040023960607511
12.33,5.66,2.779,9.68,17.31,0.0406056884668367
12.33,5.66,2.736,9.702,17.28,0.0383606577047005
12.35,5.66,2.721,9.709,17.21,0.0402780078178502
12.35,5.66,2.736,9.68,17.18,0.0539947274455547
12.31,5.65,2.765,9.567,17.18,0.0629016142119664
12.22,5.639,2.779,9.36,17.18,0.0599100311257176
12.12,5.628,2.779,9.147,17.16,0.0588573590875434
12,5.628,2.809,8.934,17.14,0.0608550046211855
11.82,5.628,2.867,8.713,17.14,0.0599908034454979
11.58,5.628,2.911,8.549,17.14,0.0595542684079703
11.41,5.628,2.926,8.45,17.14,0.0603254427709686
11.37,5.617,2.926,8.393,17.14,0.0600198474783549
11.35,5.617,2.896,8.386,17.14,0.0598312316833008
11.35,5.617,2.853,8.379,17.15,0.060119272066679
11.32,5.595,2.838,8.222,17.16,0.0600311826277097
11.28,5.563,2.823,7.959,17.15,0.0599441429333859
11.25,5.541,2.838,7.753,17.16,0.0600278736836714
11.2,5.476,2.853,7.632,17.22,0.0600359791342245
11.14,5.432,2.853,7.575,17.29,0.059987925826278
11.12,5.421,2.853,7.561,17.34,0.0599841917410272
11.1,5.389,2.823,7.554,17.38,0.0600359475807375
11.01,5.345,2.823,7.561,17.42,0.0599879404971622
10.97,5.302,2.823,7.575,17.44,0.0599841802248614
10.97,5.248,2.823,7.611,17.45,0.0600359160322626
10.99,5.258,2.867,7.682,17.41,0.0599879551788896
