ED,ECU,FCU,FD,APL,Force
36.65,25.27,8.236,18,28.81,1.38085738306691
36.62,25.27,8.265,18.06,28.76,1.38017590905971
36.52,25.28,8.28,18.07,28.64,1.37822766150112
36.42,25.27,8.265,18.07,28.51,1.38101720631491
36.47,25.27,8.265,18.07,28.32,1.39331800519554
36.5,25.24,8.265,18.07,28.34,1.40293144385884
36.5,25.23,8.265,18.07,28.67,1.40078750974566
36.49,25.26,8.265,18.14,28.72,1.39806378358969
36.29,25.39,8.25,18.27,28.57,1.40132510613149
35.96,25.49,8.031,18.46,28.42,1.40081017194292
35.85,25.48,7.87,18.91,28.29,1.39797503878649
36.08,25.49,7.929,19.52,28.25,1.4021592195157
36.45,25.59,7.958,19.98,28.27,1.40069356339166
36.88,25.67,7.987,20.33,28.25,1.38544050118004
37.6,25.75,8.016,20.56,28.18,1.37712074070242
38.3,25.81,8.046,20.57,28.07,1.38093516884589
38.53,25.86,8.046,20.51,27.93,1.38060464868351
38.53,25.86,8.031,20.46,27.85,1.37931150871844
38.77,25.85,8.046,20.8,27.85,1.38082675615032
39.43,25.91,8.002,21.51,28,1.36997235056727
39.87,25.97,7.929,22.06,28.27,1.34693002481449
39.95,26.03,7.885,22.59,28.42,1.33065488369353
40.03,26.14,7.899,23.14,28.46,1.32798390565267
40.13,26.19,8.104,23.49,28.43,1.33069542087202
40.13,26.18,8.236,23.69,28.36,1.33079807579506
40.18,26.18,8.353,23.82,28.3,1.32918510589449
40.41,26.18,8.294,23.88,28.24,1.33002710954041
40.48,26.19,8.28,23.95,28.24,1.33081679227923
40.54,26.21,8.309,24.06,28.24,1.32946327394203
40.61,26.29,8.309,24.15,28.17,1.32982038927058
40.62,26.29,8.236,24.2,28.04,1.33082515638863
40.61,26.24,8.148,24.23,27.92,1.32960541098224
40.56,26.21,8.148,24.23,27.88,1.32970367332808
40.57,26.21,8.163,24.23,27.87,1.33082890604732
40.59,26.23,8.177,24.23,27.88,1.32967230152087
40.56,26.26,8.163,24.24,27.91,1.3296628870642
40.51,26.26,8.177,24.24,27.96,1.33083260463682
40.48,26.25,8.177,24.25,27.95,1.32971639016352
40.49,26.47,8.192,24.25,27.95,1.32966270162217
40.51,26.65,8.207,24.25,27.92,1.33083211672747
40.51,26.68,8.236,24.25,27.88,1.32971660689111
40.51,26.71,8.265,24.25,27.86,1.32966251629851
40.54,26.75,8.265,24.27,27.85,1.33083162886886
40.88,26.75,8.25,24.28,27.85,1.3297168237346
41.36,26.78,8.265,24.31,27.85,1.32966233109322
41.41,26.87,8.309,24.33,27.83,1.33083114106103
41.28,26.89,8.353,24.33,27.83,1.32971704069399
41.2,26.88,8.368,24.35,27.83,1.32966214600631
41.33,27.01,8.397,24.41,27.83,1.33083169060023
41.52,27.2,8.441,24.5,27.85,1.32975973023723
41.6,27.24,8.441,24.52,27.93,1.32961437560925
41.59,27.24,8.426,24.45,28.08,1.33083558378234
41.26,27.25,8.397,24.3,28.17,1.32988970138914
40.72,27.18,8.368,24.06,28.18,1.32944448806441
40.51,27.13,8.382,23.86,28.2,1.33084643341452
40.38,27.19,8.353,23.63,28.26,1.33017370819865
40.12,27.22,8.294,23.38,28.27,1.3290220796604
39.81,27.22,8.309,23.24,28.49,1.33087371271922
39.49,27.22,8.324,23.19,28.85,1.33087692222931
39.25,27.19,8.338,23.24,29.08,1.32799585914433
39.18,27.18,8.353,23.29,29.08,1.33095020509279
39.2,27.17,8.411,23.26,29.07,1.33332646083239
38.97,27.18,8.441,23.17,29.08,1.321766926458
38.38,27.23,8.47,23.01,29.08,1.31072337396288
38.25,27.29,8.441,22.79,29.03,1.31084903843474
38.19,27.31,8.353,22.48,29.03,1.3038437151314
38.24,27.32,8.294,22.06,29.14,1.29060147135254
38.37,27.38,8.207,21.76,29.14,1.28826109531327
38.28,27.49,8.163,21.61,29.13,1.28955388805522
38.14,27.61,8.133,21.47,29.16,1.2909238491005
38.06,27.61,8.09,21.37,29.16,1.30262438132919
38.06,27.56,8.119,21.33,29.15,1.31350831876298
38.04,27.55,8.324,21.33,29.22,1.31067048462614
38.01,27.55,8.499,21.34,29.49,1.30752475730799
37.97,27.56,8.528,21.35,29.78,1.31184343569393
37.88,27.57,8.528,21.35,29.96,1.31068543800916
37.78,27.57,8.528,21.35,30.02,1.30653925628866
37.79,27.53,8.528,21.31,30.04,1.3165567533099
37.86,27.49,8.528,21.31,30.1,1.33101272582577
37.91,27.45,8.514,21.32,30.34,1.33148057264698
37.81,27.42,8.485,21.34,30.59,1.32847603582417
37.35,27.41,8.426,21.37,30.72,1.33087221118522
36.83,27.39,8.397,21.39,30.84,1.33033037057125
36.42,27.28,8.426,21.4,30.99,1.32920524833156
36.39,27.18,8.426,21.37,31.09,1.33084596573612
