ED,ECU,FCU,FD,APL,Force
25.43,9.952,4.915,12.9,19.25,0.610117867368219
25.43,9.93,4.93,12.9,19.16,0.609781681358481
25.45,9.908,4.93,12.87,18.88,0.609317984146427
25.46,9.876,4.901,12.86,18.49,0.61013008877047
25.53,9.822,4.901,12.85,18.09,0.61004493438042
25.64,9.8,4.901,12.86,17.74,0.608936682365269
25.76,9.778,4.901,12.87,17.43,0.610155726499624
25.87,9.756,4.886,12.89,17.15,0.610617630388908
26.02,9.746,4.901,12.97,17,0.60808365441962
26.1,9.746,4.944,13.12,16.98,0.610226708796306
26.08,9.756,4.959,13.26,16.99,0.612775664843576
26.02,9.767,4.959,13.32,17.03,0.602161360967771
25.94,9.756,4.974,13.34,17.04,0.589961441630501
25.86,9.746,5.003,13.34,17.03,0.590170096813051
25.77,9.767,5.061,13.36,17.03,0.583068224838701
25.71,9.8,5.149,13.41,17.04,0.559540693056388
25.64,9.822,5.252,13.49,17.04,0.551563693567485
25.68,9.843,5.325,13.6,17.02,0.572492602705928
25.77,9.854,5.354,13.68,16.96,0.590259142780598
25.84,9.865,5.369,13.71,16.85,0.589373691180953
25.87,9.876,5.354,13.72,16.85,0.593907528056953
25.87,9.876,5.354,13.73,16.91,0.610452540785954
25.81,9.887,5.413,13.73,16.95,0.613983255425459
25.56,9.832,5.442,13.76,16.93,0.604672824011654
24.99,9.691,5.456,13.81,16.81,0.610489766493088
24.47,9.55,5.5,13.81,16.71,0.626559879187186
24.29,9.463,5.559,13.81,16.69,0.628393898873557
24.25,9.43,5.603,13.81,16.67,0.630404396495439
24.25,9.409,5.632,13.81,16.61,0.650218067644749
24.24,9.365,5.69,13.81,16.59,0.664150047775023
24.22,9.344,5.734,13.81,16.57,0.659979826281619
24.22,9.333,5.764,13.81,16.53,0.657758342672361
24.22,9.311,5.793,13.81,16.52,0.66104580410836
24.22,9.3,5.851,13.81,16.53,0.660078749947742
24.17,9.3,5.866,13.81,16.54,0.658837201345733
24.12,9.311,5.866,13.81,16.54,0.660189950759587
24.06,9.333,5.866,13.81,16.53,0.660114782956674
24.04,9.354,5.866,13.78,16.54,0.659298273374785
24.14,9.409,5.866,13.78,16.55,0.659759028220609
24.35,9.496,5.866,13.83,16.56,0.66013473619076
24.81,9.561,5.851,14.01,16.61,0.659567395441431
25.41,9.593,5.851,14.32,16.7,0.659499401071503
25.74,9.648,5.881,14.66,16.81,0.66014678572223
25.82,9.648,5.91,14.92,16.93,0.65976604349661
25.86,9.626,5.925,15.12,16.99,0.659251008859621
25.87,9.604,5.939,15.26,17.02,0.660160830411811
25.87,9.593,5.954,15.33,17.05,0.660056182777108
25.87,9.615,5.968,15.36,17.1,0.658840408278271
25.92,9.648,5.998,15.33,17.17,0.660195167200793
26.05,9.669,5.998,15.34,17.19,0.660846103401916
26.22,9.561,6.012,15.46,17.23,0.657428243348645
26.35,9.474,6.144,15.63,17.52,0.660381063942264
26.44,9.496,6.334,15.8,17.95,0.673795046222914
26.49,9.507,6.51,15.89,18.11,0.682256662440103
26.54,9.507,6.568,15.96,18.12,0.680049516640286
26.59,9.507,6.612,16.13,18.12,0.678540293849369
26.64,9.485,6.641,16.41,18.13,0.68035157601389
26.66,9.485,6.7,16.64,18.13,0.680113015013339
26.75,9.463,6.817,16.84,18.18,0.679168826358669
26.79,9.485,6.934,17.03,18.24,0.679879751452252
26.77,9.485,6.978,17.13,18.28,0.680135634172434
26.74,9.507,6.992,17.16,18.27,0.679461253963349
26.53,9.572,7.007,17.16,18.23,0.679594115788818
