ED,ECU,FCU,FD,APL,Force
128,108.8,12.64,20.68,168.2,1.65262197016601
127.9,108.8,12.69,20.6,168.3,1.65090819341783
128.4,108.9,12.67,20.56,168.2,1.64921950694064
129.1,110.3,12.91,20.58,167.8,1.64893857618353
129.9,113.5,13.37,20.71,166.8,1.65118660770278
130.2,115.8,13.7,20.77,164.5,1.66286183566651
130.9,116.8,13.86,20.72,161.1,1.67334620798304
134.1,116.8,13.86,20.71,158.3,1.67083391782677
135.3,117.5,13.96,20.78,156.8,1.66744081337718
135.2,120.7,14.35,20.83,156.2,1.67186225164149
135.1,123.4,15.23,20.81,156.2,1.67083350024894
135.1,124.6,15.9,20.75,156,1.66587747848901
135.1,124.7,15.93,20.7,154.8,1.67880629633849
135.1,124.1,16.06,20.6,152.8,1.70149241741847
135.1,123.7,16.29,20.51,150.7,1.70408696802023
135.2,123.4,16.53,20.42,148.4,1.69480469336943
135.9,123.3,16.79,20.25,146.5,1.70145899261499
137.7,123.3,16.93,20.14,145.3,1.71605585799721
140.5,123.2,16.98,20.11,144.6,1.71937825814241
142.6,123.2,16.98,20.17,144.1,1.72123420821596
142.3,123.2,16.98,20.22,143.8,1.73265436397351
141.7,123.2,16.98,20.19,143.6,1.74590278260135
142.1,123.2,17.01,20.1,143.4,1.76163357595142
143.6,123.3,17.07,20.03,143.3,1.78217754632182
145.9,123.3,17.2,19.96,143.2,1.7922135452859
148.6,123.3,17.31,19.9,143.1,1.79110073992098
149.8,123.2,17.36,19.94,143.1,1.80004001547573
148.9,123.1,17.36,19.97,143.1,1.81971203170816
148.3,123.4,17.36,19.94,143.1,1.83122316411961
148.4,123.9,17.34,19.91,143.1,1.82984307434731
146.9,125.5,17.34,19.9,143.1,1.83198837736807
141.6,126.7,17.31,19.69,143.1,1.85190414205243
137.6,126.7,17.33,19.34,143.1,1.87452227856878
136.3,127.4,17.31,19.11,143.1,1.87975863972216
135.9,128.1,17.33,19.02,143,1.88135454093419
135.8,128.4,17.31,19.01,143,1.893682986022
135.8,128.5,17.26,19.08,143,1.90170132051146
135.7,128.5,17.23,19.22,142.9,1.90119740529628
135.4,128.5,17.23,19.4,142.9,1.91098237151188
135.1,128.5,17.23,19.48,142.9,1.92561614117957
135.1,128.5,17.23,19.51,142.9,1.92074427821551
135.5,128.5,17.22,19.52,143,1.91309907054687
136,128.5,17.18,19.59,143,1.93220158628898
136.3,128.5,17.15,19.66,143.1,1.95137146329029
136.3,128.5,17.14,19.75,143.1,1.94867556216747
136.8,128.5,17.14,19.83,143.2,1.95545700481464
137.4,128.5,17.14,19.84,143.3,1.97145498696283
136.7,128.7,17.07,19.84,143.3,1.97021824512707
135.8,128.6,16.98,19.8,143.2,1.97330353988962
135.4,128.8,17.01,19.73,143.2,1.99167296273247
135.7,129.1,17.04,19.72,143.2,1.99406845071678
136.1,129.3,17.01,19.76,143.1,1.98475108730174
136.4,129.7,16.99,19.84,143.1,1.99165404315663
136.6,130.1,16.99,19.94,143,2.00568918132794
136.5,130.1,17.04,19.96,142.1,2.01021952878334
136.4,130.1,17.12,19.94,139.3,2.01124237163648
136.2,130.6,17.18,19.98,133.8,2.01093170516677
136.2,131.1,17.3,20.04,126,2.00657890017242
136.2,130.7,17.42,20.05,118.7,2.01164868332934
136.2,129.4,17.44,20.05,114.8,2.03114983232833
136.1,127.9,17.5,20.04,113.8,2.04285467578982
136,127.6,17.66,20.04,113.8,2.04118798950738
135.9,127.8,17.72,20.03,112.2,2.04940704918494
135.9,127.5,17.77,20.03,105.9,2.07033233157045
135.9,127.2,17.8,20.03,97.4,2.08130605426958
136,127.1,17.8,20.01,90.29,2.07883686433372
135.9,127,17.88,20,84.74,2.08317881963312
136,126.8,18.11,19.96,81.12,2.10197316845129
136,125.8,18.25,19.93,79.27,2.12183524009544
136.1,124.5,18.3,19.96,78.23,2.1362527961398
136.1,124.9,18.3,19.98,77.48,2.15182820424899
136.2,125.4,18.3,19.98,77.01,2.16575332117266
135.9,125.4,18.3,19.97,76.66,2.16998015967011
135.7,125.1,18.3,19.97,76.43,2.1714399026771
136.5,125.5,18.33,19.97,76.26,2.18113802701938
137.1,126.1,18.31,19.97,76.11,2.19968030736008
137.5,126.4,18.65,19.93,75.98,2.2220291939185
138.5,126.5,18.82,19.83,75.88,2.2369564336809
138.8,126.5,18.79,19.71,75.86,2.23865303389663
138.8,126.5,19.23,19.65,75.88,2.24162101748316
139.4,126.6,20.89,19.69,75.9,2.25403485953902
139.7,126.6,21.87,19.83,75.92,2.26106088095575
139.5,126.6,21.81,20.04,75.94,2.26148442550114
139.5,126.6,21.73,20.17,75.96,2.27630954127875
139.5,126.6,21.68,20.21,75.98,2.30239482753838
139.5,126.7,21.75,20.21,76.03,2.31128249212254
139.5,126.8,21.71,20.22,76.11,2.30660247863248
139.5,126.8,21.7,20.39,76.22,2.31658292265608
139.6,126.8,21.86,20.81,76.53,2.33163958313156
139.3,126.4,22.1,21.49,77.27,2.33026154442509
139.1,125.7,22.14,22.29,78.34,2.33203011679814
139.3,125.5,22.14,22.86,79.41,2.35221273926596
139.4,125.5,22.18,23.14,80.32,2.37221010935432
139,125.6,22.18,23.25,81.22,2.38608352192004
138.4,125.6,22.18,23.25,81.96,2.4019732100351
138.2,125.5,22.18,23.26,82.3,2.4146502377626
138.4,125.1,22.16,23.25,82.3,2.42430392739015
138.5,125,22.11,23.29,82.46,2.4422237337548
138.6,126,21.95,23.41,83.62,2.46307335692981
139.7,128.4,21.78,23.61,85.45,2.47116297857824
140.5,131.7,21.75,23.81,87.16,2.47155737330803
140.8,134.3,21.75,23.86,88.84,2.48096322203322
140.9,134.8,21.79,23.86,90.48,2.49815181556465
140.8,134.6,21.87,23.87,91.68,2.51186958270144
141.1,135,21.92,23.94,92.39,2.52235449481604
142,137.5,21.94,24.06,92.79,2.53878684185101
142.5,141.8,21.95,24.15,92.98,2.56232762540725
142.5,143.7,21.95,24.1,93.07,2.57756858296708
142.2,143.7,21.95,23.94,93.11,2.57785640349914
141,143.6,21.97,24.01,93.02,2.58190039135345
140,143.4,22.1,24.29,92.69,2.59495660047001
138.7,143.4,22.24,24.54,92.31,2.59967376064041
137.7,143.4,22.29,24.77,91.89,2.60183775739087
138.2,143.4,22.27,24.95,91.21,2.61905835198168
137.1,143.4,22.27,24.99,89.91,2.63551164312548
136.4,142.5,22.27,24.92,88.37,2.63113862219364
136.3,141.3,22.29,24.81,87.56,2.62483313679983
135,141.3,22.53,24.53,87.3,2.63767674670172
132,140.3,23.02,24.15,87.2,2.65176917880713
130.3,139.3,23.32,23.97,87.2,2.64982119212384
130.1,139,23.32,24,87.18,2.65224963129078
130.1,139,23.7,24.04,87.15,2.67239658175305
130.6,138.2,24.89,24.04,86.95,2.68764642566219
131.8,137.2,26.02,24.06,86,2.68759143168571
132.2,136.3,26.21,24.13,84.44,2.69200314346214
131.7,135.4,26.4,24.31,83.18,2.70942434076098
131.6,134.4,27.71,24.47,82.36,2.7280989837292
131.6,134.1,29.42,24.49,81.81,2.74207579925407
131.9,134.1,30.31,24.47,81.52,2.75420597886632
132,134,30.6,24.43,81.39,2.76151729164095
132,134,30.6,24.38,81.31,2.76160886825941
132.2,134,31.08,24.32,81.27,2.76889985342531
132.1,133.8,31.98,24.29,81.26,2.79294250017507
132.5,133.8,32.21,24.27,81.26,2.81194559195296
