ED,ECU,FCU,FD,APL,Force
68.86,15.03,3.508,8.366,7.11,0.234129776684955
69.24,15.03,3.494,8.079,7.057,0.233931432631899
70.49,15.11,3.508,7.829,7.057,0.233513197128567
71.4,14.92,3.424,7.616,7.11,0.234117623282873
71.46,14.73,3.327,7.466,7.245,0.233795567862047
71.49,14.82,3.327,7.341,7.339,0.233621306189418
71.84,14.8,3.355,7.291,7.339,0.234112061212554
72.03,14.8,3.355,7.266,7.299,0.233736144505701
72.03,14.8,3.355,7.266,7.097,0.233662849454207
72.18,14.77,3.368,7.316,6.895,0.234109884517131
72.78,14.8,3.41,7.428,6.787,0.233714228268172
73.28,14.89,3.466,7.541,6.72,0.233679646642122
73.69,14.92,3.494,7.654,6.679,0.234108538396434
74.13,14.82,3.522,7.829,6.733,0.233705683356508
73.91,14.75,3.522,7.941,6.814,0.233689158044508
73.78,14.77,3.522,7.941,6.814,0.234107542197704
73.44,14.7,3.549,7.954,6.828,0.233689664519719
72.15,14.63,3.549,7.954,6.868,0.233703334027732
70.02,14.63,3.522,7.941,6.895,0.23410600842043
69.64,14.56,3.508,7.966,6.895,0.23366630999072
69.92,14.56,3.466,8.004,6.922,0.233734336418468
69.99,14.56,3.466,8.004,6.949,0.234102915067587
69.96,14.56,3.452,8.016,6.935,0.233608585146213
69.71,14.54,3.466,8.066,7.003,0.233814646186697
69.24,14.44,3.48,8.129,7.097,0.234095168146873
69.27,14.3,3.522,8.179,7.083,0.233437259879965
69.3,14.16,3.535,8.229,7.057,0.234146587484502
69.02,14.13,3.535,8.241,7.043,0.23404382733236
67.64,14.23,3.522,8.254,7.043,0.229720719292031
66.82,14.32,3.522,8.254,7.057,0.22635320292394
67.29,14.28,3.535,8.254,7.057,0.228201392335081
67.79,14.28,3.535,8.254,7.083,0.232057478498399
68.61,14.28,3.535,8.241,7.137,0.234584003430601
68.8,14.35,3.535,8.254,7.191,0.234053912697284
69.17,14.44,3.535,8.254,7.205,0.232763880081689
70.52,14.49,3.522,8.241,7.191,0.235599199015582
70.83,14.47,3.508,8.229,7.164,0.23915450556053
70.77,14.47,3.508,8.229,7.191,0.238893507999173
70.71,14.47,3.522,8.254,7.124,0.238732206219244
70.71,14.49,3.549,8.279,7.124,0.23909035867453
70.71,14.7,3.577,8.254,7.205,0.238083740448088
70.71,14.8,3.577,8.216,7.232,0.240505231437907
70.77,14.8,3.577,8.191,7.232,0.245200702017071
70.96,14.82,3.549,8.204,7.218,0.245444606559258
71.15,14.89,3.522,8.204,7.245,0.244107553797364
71.24,14.94,3.522,8.204,7.299,0.245147576279777
71.18,14.96,3.522,8.204,7.326,0.245172475986536
71.12,15.03,3.591,8.204,7.339,0.244153758540146
71.05,15.03,3.675,8.204,7.326,0.245157261104327
71.09,14.89,3.675,8.204,7.285,0.245612343203614
71.02,15.11,3.661,8.191,7.124,0.242593472355247
70.93,15.77,3.647,8.179,6.976,0.239036252090292
71.09,16.19,3.647,8.166,6.908,0.238221036338755
71.02,16.31,3.633,8.166,6.895,0.238956244382164
70.8,16.34,3.633,8.166,6.895,0.239100450985892
70.71,16.34,3.633,8.166,6.989,0.238821786845444
70.65,16.29,3.661,8.166,7.151,0.23775446783584
70.65,16.03,3.702,8.179,7.312,0.233950761327263
70.61,15.82,3.716,8.191,7.366,0.228959401645
70.61,15.74,3.716,8.191,7.312,0.227008402460177
70.46,15.63,3.73,8.191,7.609,0.228158203180113
69.55,15.48,3.73,8.204,7.851,0.231241899691567
68.8,15.44,3.73,8.204,7.945,0.236338831768591
68.8,15.41,3.744,8.216,7.959,0.23911288549918
68.8,15.39,3.744,8.229,7.891,0.238197150229549
68.76,15.39,3.758,8.266,7.865,0.240418934755223
