ED,ECU,FCU,FD,APL,Force
4.421,3.859,4.468,13.98,4.282,0.0403242920641466
4.421,3.859,4.51,13.98,4.363,0.0407413421484581
4.421,3.883,4.538,13.98,4.417,0.0394154330489502
4.421,3.883,4.538,13.97,4.417,0.0402756826045167
4.421,3.907,4.538,13.97,4.431,0.0404675585882835
4.421,3.93,4.621,13.97,4.471,0.0394716341690949
4.421,3.93,4.719,13.97,4.484,0.0402838194096818
4.421,3.93,4.746,13.99,4.457,0.0408894838628758
4.421,3.93,4.746,14.04,4.336,0.037947293182389
4.421,3.93,4.746,14.12,4.229,0.0341706788756324
4.421,3.93,4.746,14.17,4.161,0.0334626488999417
4.421,3.907,4.746,14.18,4.121,0.0343454004714245
4.453,3.907,4.746,14.19,4.121,0.0342259834782279
4.453,3.907,4.746,14.21,4.027,0.0339946947539211
4.453,3.93,4.774,14.26,3.905,0.0332520672765742
4.453,4.025,4.844,14.31,3.892,0.0290795350071177
4.453,4.049,4.872,14.36,3.892,0.0239482492943759
4.453,4.049,4.872,14.36,3.878,0.0228703878243982
4.453,4.072,4.872,14.33,3.946,0.0232149970668035
4.421,4.049,4.872,14.32,3.973,0.0223763416347887
4.421,4.025,4.9,14.27,3.973,0.0247838018063539
4.421,4.025,4.913,14.16,3.973,0.0293205365923107
4.421,4.025,4.941,13.98,3.932,0.0297442345684196
4.421,4.025,4.969,13.83,3.851,0.0283579153950741
4.421,4.025,4.983,13.71,3.838,0.0292718050406631
4.39,4.025,4.927,13.66,3.838,0.0295332996078892
4.327,4.001,4.886,13.67,3.851,0.0282774904391313
4.296,3.978,4.844,13.68,3.851,0.0293097223634107
4.264,3.954,4.83,13.71,3.851,0.0326495637225406
4.264,3.954,4.83,13.72,3.878,0.0345996666116961
4.264,3.954,4.83,13.54,3.905,0.0342142402857792
4.264,3.954,4.788,13.23,3.919,0.0337591641881305
4.264,3.93,4.719,13.01,3.919,0.0342074314555217
4.264,3.907,4.677,12.87,3.946,0.0342265996609659
4.264,3.859,4.677,12.87,3.946,0.0338447682665594
4.202,3.859,4.663,12.89,3.959,0.0341760399141342
4.17,3.836,4.621,12.86,3.973,0.0342248867254584
4.17,3.812,4.635,12.79,3.973,0.0337867348414997
4.202,3.788,4.663,12.76,3.973,0.0342826937374568
4.202,3.765,4.663,12.74,3.973,0.0342128152609097
4.17,3.765,4.635,12.76,3.973,0.0335315758280262
4.17,3.765,4.607,12.89,3.946,0.0347383988859471
4.17,3.765,4.649,13.21,3.946,0.0341497042391677
4.17,3.765,4.705,13.56,3.959,0.0300566863993336
4.17,3.765,4.76,13.74,3.959,0.028942749661871
4.17,3.741,4.802,13.81,3.959,0.0291796290359404
4.17,3.741,4.83,13.84,3.959,0.0249798681699084
4.139,3.741,4.844,13.88,3.973,0.0219663033905667
4.139,3.741,4.858,13.92,3.973,0.0232745396142969
4.108,3.741,4.858,13.92,3.932,0.0234131768231587
4.108,3.717,4.858,13.92,3.825,0.022646892752186
4.108,3.717,4.844,13.88,3.757,0.0232475935415979
4.045,3.717,4.844,13.84,3.73,0.0231797666326073
3.982,3.694,4.844,13.83,3.73,0.0228162283377312
3.951,3.67,4.844,13.82,3.771,0.0232392618981334
3.888,3.622,4.83,13.82,3.784,0.0231059094914423
3.825,3.646,4.83,13.83,3.784,0.0228576734452265
3.825,3.67,4.83,13.82,3.771,0.0232384691353975
3.857,3.67,4.858,13.81,3.771,0.0231260670784095
3.825,3.67,4.872,13.83,3.771,0.0228029289906067
3.763,3.67,4.872,13.86,3.798,0.0232458249313935
3.731,3.694,4.872,13.87,3.798,0.0232876206807339
3.7,3.694,4.872,13.88,3.798,0.0224714810685995
3.669,3.694,4.872,13.89,3.825,0.0233039377306823
3.637,3.694,4.872,13.89,3.825,0.0270567692758752
3.637,3.67,4.886,13.89,3.838,0.0301354338814006
